label_str,ltable_id,rtable_id,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
No,350,1853,0,350,adobe creative suite cs3 design standard upsell [ mac ],adobe,899.0,1853,19300109 adobe creative suite 3 design standard product upgrade package 1 user upgr,,424.74
Yes,461,2548,1,461,alien disco safari,encore,19.99,2548,encore software 12510 alien disco safari win xp vista,,18.97
Yes,267,2503,1,267,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ],adobe,149.99,2503,adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software,,149.95
No,247,1799,0,247,netmanage onweb web-to-host v. 5.1 upgrade license 910443-004 ),netmanage,,1799,910443-004-g onweb web-to-host v. 5.1 upgrade license 1 user volume level g 3,,60.44
No,553,923,0,553,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,923,adobe indesign cs3 for mac upgrade from pagemaker,,205.99
Yes,1220,559,1,1220,atlantis quest,got game,19.99,559,got game entertainment atlantis quest,,17.27
No,1279,1029,0,1279,palo alto business plan pro premier 2007,palo-alto-software,199.0,1029,palo alto software bppx palo alto business plan 2007 pro complete product business planning 1 user complete product standard pc,,83.97
Yes,935,613,1,935,corel dvd moviefactory 6.0 plus,corel,79.99,613,corel corporation dvd movie factory 6 plus retial ( english ),,74.08
No,535,1822,0,535,microsoft windows live onecare 1.5 online pc care subscription [ 12 months ],microsoft,49.95,1822,c7s-00024 windows live onecare v. 1.5 complete package 3 pcs cd win englis,,38.64
Yes,1132,935,1,1132,civilization iv dvd-rom ( mac ),aspyr media,49.99,935,civilization iv mac os x aspyr,,45.99
No,35,1821,0,35,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99,1821,10731 the print shop 22 pro publisher deluxe complete package 1 user win,,84.13
No,1274,961,0,1274,wingnuts 2 ( mac ),freeverse software,29.99,961,wingnuts 2 : raina 's revenge,,28.99
Yes,333,2177,1,333,adobe after effects 7.0 professional ( mac ),adobe,999.0,2177,adobe after effects professional 7.0 software effects software,,998.95
Yes,1078,2100,1,1078,3d home architect home v. 8 by encore software,encore software,39.99,2100,encore software 10634 3d home architect home v. 8 by,,33.97
Yes,577,2773,1,577,quicken 2007 home & business,intuit,89.95,2773,quicken home and business 2007 ( pc ) intuit,,89.99
Yes,72,1567,1,72,midway arcade treasures ( jewel case ),encore software,9.99,1567,encore inc 28453 midway arcade treasures win 98 me 2000 xp,encore inc,19.38
Yes,1190,2468,1,1190,punch ! professional home design,punch ! software,89.99,2468,punch software 14100 punch ! professional home design suite for windows,punch software,62.99
Yes,1012,813,1,1012,reel deal slots 2.0 for pc,phantom efx,9.99,813,phantom efx reel deal slots v 2.0,,7.36
No,35,456,0,35,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99,456,encore inc print shop 22 pro publisher deluxe,,85.07
Yes,1349,254,1,1349,adobe creative suite cs3 web standard upsell [ mac ],adobe,799.0,254,adobe cs3 web standard upsell,,819.99
Yes,556,3016,1,556,instant immersion italian deluxe 2.0,topics entertainment,49.99,3016,instant immers italian dlux 2 .,,36.11
Yes,712,401,1,712,spongebob squarepants typing 2008 win/mac,encore software,19.95,401,encore inc spongebob squarepants typing fun,,17.1
Yes,225,2316,1,225,microsoft powerpoint 2004 ( mac ),microsoft,229.99,2316,microsoft powerpoint 2004 software mac apple & mac software,,228.95
No,874,1066,0,874,peachtree by sage premium accounting for manufacturing 2007 multi user ( up to 5 users ),sage software,1199.99,1066,sage software peachtree premium accounting 2007 software for windows tax & finance software,,469.95
Yes,1319,683,1,1319,video patrol 5.0 by honest technology,global-marketing-partners,50.86,683,global marketing partners video patrol 5.0 honest technology,global-marketing-partners,25.2
No,1021,2453,0,1021,resumemaker professional 12.0,individual software,29.99,2453,individual software prm-r12 resumemaker professional 12.0,individual software,29.99
No,215,96,0,215,netmanage rumba web to host as400 ed v4 .2 910623-000 ),netmanage,,96,910623-000 rumba web-to-host for as/400 v. 4.2 license 1 processor tier p60 s,,29578.09
No,557,2393,0,557,adobe creative suite cs3 production premium,adobe,1699.0,2393,adobe production premium cs3 software suite for mac av production software,,1698.95
Yes,599,2501,1,599,instant immersion french deluxe 2.0,topics entertainment,49.99,2501,instant immers french dlx 2,,27.57
Yes,580,264,1,580,quickbooks premier edition 2007 5 user multi-pack,intuit,1499.95,264,intuit inc quickbooks premier edition 2007 5 user,,1309.31
Yes,803,953,1,803,adobe creative suite cs3 master collection [ mac ],adobe,2499.0,953,adobe cs3 master collection,,2499.99
No,784,2075,0,784,axis & allies collector 's edition,encore,19.99,2075,encore software 11431 axis & allies collectors edition sb cs by hasbro,,17.97
Yes,52,2082,1,52,instant home design ( jewel case ),topics entertainment,9.99,2082,instant home design 1 ( jc ),,12.9
Yes,740,427,1,740,chessmaster 9000 ( mac ),feral interactive,39.99,427,feral interactive limited chessmaster 9000,,35.98
Yes,373,2805,1,373,magellan mapsend lakes ( usa south ),magellan,114.66,2805,magellan mapsend lakes usa south,,99.95
No,1284,1955,0,1284,punch ! master landscape & home design,punch ! software,99.99,1955,punch software 85100 master landscape professional & home design v 10.0,,61.8
Yes,115,1685,1,115,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95,1685,britannica deluxe 2008,,26.5
Yes,1325,677,1,1325,street atlas usa 2007 plus dvd,delorme,59.95,677,delorme mapping street atlas usa 2007 plus dvd xx,,53.37
Yes,1051,2360,1,1051,tlc clue finders math learning system sb by riverdeep,encore software,19.99,2360,encore software 10593 encore tlc clue finders math learning system 2007 complete product educational 1 user complete product standard pc mac,,17.97
Yes,1294,703,1,1294,jumpstart 4th-6th grade v 2.0 b43,knowledge adventure,19.99,703,knowledge adventure inc. jumpstart 4th-6th grade v 2.0 b43,,16.93
Yes,1264,2752,1,1264,punch ! professional home design suite,punch ! software,69.99,2752,punch software 35100 punch ! professional home design suite ( small box ),punch software,62.99
Yes,1116,952,1,1116,aquazone bass edition,smith-micro-software,19.99,952,allume aquazone bass edition,smith-micro-software,19.99
Yes,681,267,1,681,hospital tycoon for pc,warner-new-media,29.99,267,warner home video games hospital tycoon,warner-new-media,26.33
No,272,2292,0,272,adobe audition 2.0,adobe,349.0,2292,adobe audition 2.0 audio production software educational discount audio software for video,adobe-education-box,148.95
No,880,2071,0,880,super granny 3,encore software,19.99,2071,encore software 13791 super granny 3,,17.97
No,853,639,0,853,onone essentials for adobe photoshop elements,onone software,59.95,639,onone software essentials for adobe photoshop elements version 2 full,,59.33
No,1108,2763,0,1108,3d bridge deluxe ( mac ),freeverse software,24.99,2763,freeverse software 4012 3d bridge deluxe ( retail box ) for mac,freeverse software,18.99
Yes,1284,1039,1,1284,punch ! master landscape & home design,punch ! software,99.99,1039,punch software 25100 punch ! master landscape and home design,punch software,45.99
Yes,990,2243,1,990,power production storyboard artist 4,power production,,2243,power production power production storyboard artist software animation software,,498.95
No,689,3050,0,689,family tree maker version 16 collectors edition,encore software,,3050,encore software 10891 family tree maker version 16 essential sb cs,,25.97
Yes,372,2827,1,372,readiris pro 11 corporate edition,iris inc.,399.99,2827,readiris pro 11 corporate edition for pc,,349.99
No,139,1678,0,139,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,1678,adobe creative suite ( v3 .0 ) design premium mac adobe 19500009,,1482.0
No,5,1640,0,5,emc retrospect 7.5 disk to disk windows,dantz,,1640,retrospect 7.5 prof win upg only pz24a0075,emc,54.68
Yes,675,258,1,675,art explosion 600 000 images,nova development,79.99,258,nova development corp art explosion 600000 images,,72.86
No,382,2393,0,382,adobe production studio premium,adobe,1699.0,2393,adobe production premium cs3 software suite for mac av production software,,1698.95
Yes,718,1443,1,718,land before time : kindergarten,brighter-minds-media-inc .,9.99,1443,the land before time : kindergarten adventure,,12.9
No,282,2072,0,282,elementary success deluxe 2006 ( dw dvd ),topics entertainment,49.99,2072,topics entertainment reference success deluxe 2006,,22.9
No,1221,31,0,1221,ulead videostudio 10,corel,69.99,31,buvsag-00000 ulead videostudio 10 complete package 1 user win english,,61.94
No,591,2911,0,591,apple iwork '06 family pack ( mac dvd ) [ older version ],apple,99.0,2911,iwork '06 ( mac ) apple,,79.99
No,542,2020,0,542,apple ilife '06 ( mac dvd ) [ older version ],apple computer,79.0,2020,apple ilife 06,,70.47
No,213,129,0,213,netmanage rumba web as/400 edition 910523-002 ),netmanage,,129,910523-002 rumba as/400 edition v. 7.2 upgrade package 1 processor tier p50 c,,20069.43
No,223,1952,0,223,symantec client security 3.1 with groupware protection business pack 50 user,symantec,3732.0,1952,symantec 10517904 client security v. 3.1 business pack complete product internet security 50 user ( s ) complete product standard pc - free shipping,,1895.97
No,195,198,0,195,world of warcraft,blizzard entertainment,19.99,198,vivendi blizzard world of warcraft,,24.99
Yes,40,2050,1,40,the print shop 22 deluxe,encore,49.99,2050,the printshop v22 deluxe,,29.9
Yes,756,341,1,756,44 years of the fantastic four,git corp,49.99,341,git 44 years of marvel fantastic 4 dvd-rom,,42.99
Yes,1179,896,1,1179,microspot x-rip ( mac ),microspot ltd,349.99,896,microspot x-rip large format print driver for os x,,335.99
No,1115,1080,0,1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,1080,punch software 25100 punch ! master landscape and home design,punch software,45.99
Yes,1271,467,1,1271,anime studio 5 win 98/me 2000/xp mac os 10.4 & up,aladdin systems,49.99,467,allume anime studio 5,,44.99
No,238,1769,0,238,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for,computer associates,,1769,bablur1150s06 brightstor arcserve backup enterprise option for advantage ingres for linux (,,632.18
Yes,744,360,1,744,mariner calc speadsheet ( mac ),mariner software,59.99,360,mariner calc spreadsheet software,,52.99
No,1242,857,0,1242,peachtree by sage premium accounting 2007,sage software,499.99,857,sage ( ptree ) premium accounting accountants edition 2007,,492.01
Yes,1098,965,1,1098,rollercoaster tycoon 3 ( mac ),aspyr media,49.99,965,aspyr roller coaster tycoon 3 mac os x,,45.99
Yes,1246,1061,1,1246,peachtree by sage complete accounting 2007,sage software,269.99,1061,sage software peachtree complete accounting 2007 software for windows tax & finance software,,249.95
Yes,449,2149,1,449,boomerang webpage designer gold,boomerang,,2149,web page designer gold,,36.9
No,1281,3145,0,1281,palo alto business plan pro 2007,palo-alto-software,99.95,3145,palo alto business plan pro 2007,,83.99
Yes,460,2512,1,460,snap ! 8 player poker 5 pack,topics entertainment,29.06,2512,topics entertainment cs-50613 snap ! 8 player poker 5 pack,,18.99
Yes,165,1503,1,165,hp storageworks secure path for windows workgroup edition v. 4.0 c license 213076-b26 ),hewlett packard,,1503,hewlett packard 213076-b26 secure path v4 .0 c win wkgp ed 1 lic/cd,,1888.39
Yes,833,2630,1,833,punch ! viacad 2d/3d,punch ! software,99.0,2630,viacad 2d/3d ( win 2000 xp vista ),,99.95
Yes,966,874,1,966,gmp data rescue license 24300 ),global-marketing-partners,349.0,874,prosoft engineering data rescue universal license,global-marketing-partners,236.34
Yes,354,2869,1,354,the universe ( win/mac ) ( jewel case ),fogware publishing,9.99,2869,elementary school space the universe ( pc/mac ) fogware,,9.99
Yes,1284,1052,1,1284,punch ! master landscape & home design,punch ! software,99.99,1052,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
No,689,2932,0,689,family tree maker version 16 collectors edition,encore software,,2932,encore software 10881 family tree maker version 16 standard sb cs by family tree maker,,42.97
Yes,725,440,1,725,omniweb 5.0,omni group,29.99,440,omni web 5.0,,23.99
Yes,795,2594,1,795,ca arcserve bkup r11 .5 win client vss software snap-shot - prod only,computer associates,,2594,computer associates babwbr1151s33 brightstor arcserve backup client for vss software snap-shot v. 11.5 for windows with service pack 1 add-on backup & recovery 1 server ( s ) complete product standard multilingual pc,,799.97
Yes,926,2554,1,926,pc hoyle jewels : swap & drop it,encore software,9.99,2554,encore software 10662 hoyle jewels : swap & drop win 98 me 2000 xp,,7.69
Yes,284,3028,1,284,sibelius 5 educational edition,sibelius-software-ltd .,329.0,3028,sibelius sibelius 5 software educational discount music production software,sibelius-software-ltd .,248.95
Yes,1361,605,1,1361,mediarecover,aladdin systems,29.99,605,allume systems inc mediarecover,,26.14
Yes,740,930,1,740,chessmaster 9000 ( mac ),feral interactive,39.99,930,chessmaster 9000 : feral interactive,,38.99
Yes,130,1794,1,130,microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 ),microsoft licenses,101515.55,1794,microsoft h32-00034 sps extrnlconnnonemplyengl & s c 805529073074,,55420.56
No,1097,1870,0,1097,spy sweeper with antivirus/child safe,webroot software,39.95,1870,50411 spy sweeper with antivirus complete package 3 users win,,38.91
Yes,1257,462,1,1257,total 3d home & landscape design suite version 9,individual software,39.99,462,individual software inc total 3d home & landscape deluxe 9,,33.5
Yes,1241,523,1,1241,quicken legal business pro 2007,nolo press,79.99,523,nolo quicken legal business pro 2007,,67.94
No,866,1734,0,866,system care professional,avanquest,49.95,1734,avanquest usa 1461 system suit 7 professional,avanquest usa,44.99
Yes,683,243,1,683,math advantage 2008,encore,39.99,243,encore inc math advantage 2008,,33.89
No,1322,521,0,1322,adobe creative suite cs3 design premium upsell,adobe,1599.0,521,adobe cs3 design premium,,1865.99
Yes,1181,894,1,1181,the logo creator ( mac ),laughing bird,39.99,894,laughingbird the logo creator,,34.99
No,516,99,0,516,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,99,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
Yes,1144,931,1,1144,play music together mac,iplaymusic,39.99,931,play music together dvd by iplaymusic mac,,32.99
No,263,1723,0,263,symantec mail security for smtp 5.0 smb av cd 5u gov,symantec,,1723,10547845 symantec mail security for smtp with antivirus v. 5.0 complete package -,,118.03
Yes,500,2563,1,500,the printshop business card maker ( jewel case ),riverdeep-learning-company,9.99,2563,encore software 2137421 printshop business card maker ( win 98 me 2000 xp ),,8.64
Yes,1275,2420,1,1275,punch ! super home suite,punch ! software,49.99,2420,punch software 38100 punch ! super home suite ( small box ),punch software,45.99
Yes,189,1508,1,189,upgrade delphi 2006 pro named fr delphi v3-2005 pro cd,borland international,,1508,borland hdb0006wwcs180 upg delphi 2006 prof nmd f/del v3 2005 pro cd,,453.71
Yes,248,1633,1,248,microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft software,,1633,windows sbs cal 2003 20-clt addpak device cal microsoft t74-00003,,1413.42
No,1287,783,0,1287,punch ! 5 in 1 home design,punch ! software,39.99,783,punch software 20100 punch ! 5 in 1 home design,punch software,35.99
No,977,2670,0,977,safekeeper plus,bling,39.99,2670,bling software limited safekeeper plus,,39.99
No,476,2464,0,476,ae outlook 2007 win32,microsoft corp,,2464,outlook 2007 edu microsoft 543-03865,,50.13
No,1059,329,0,1059,quarkxpress 7 windows & macintosh ),quark,899.0,329,quark xpress 7 ( no returns ),,714.99
No,897,426,0,897,adobe creative suite cs3 production premium upsell,adobe,1199.0,426,adobe cs3 production premium upgrade,,822.99
Yes,1119,707,1,1119,apple remote desktop 3 10 managed systems,apple,299.0,707,apple remote desktop 3 ( 10 managed systems ),,299.99
Yes,1218,555,1,1218,civil air patrol : search & rescue,abacus,29.99,555,abacus civil air patrol search & rescue,,26.14
No,1020,2986,0,1020,elementary school advantage 2007,encore software,29.99,2986,elementary advantage 2007,,12.95
No,1072,2375,0,1072,marine aquarium & goldfish screen saver by encore software,encore software,,2375,encore software 25005 encore marine aquarium v. 2.0 complete product screen saver 1 user ( s ) complete product standard pc mac,,18.97
Yes,65,2125,1,65,custom landdesigner 3d design 7.0,sierra on-line,,2125,custom land designer 3d 7.0,,12.9
Yes,181,1538,1,181,emedia rock guitar method,emedia,39.99,1538,emedia rock guitar method ( win 95 98 me nt 2000 xp/mac 8.0 ),,39.15
No,1279,551,0,1279,palo alto business plan pro premier 2007,palo-alto-software,199.0,551,palo alto software business plan pro 2007,palo-alto-software,88.83
Yes,359,2836,1,359,adventure workshop 1st-3rd grade 8th edition,encore,19.99,2836,adventure workshop 1st-3rd grade . 8th edition ( pc ) encore,,19.95
Yes,1113,948,1,1113,logic express 7.2 upgrade from logic express 6,apple-computer - ( direct ),99.0,948,apple logic express 7.2 upgrade from v. 6,apple-computer - ( direct ),99.99
No,1215,33,0,1215,microsoft digital image suite 2006 plus pinnacle studio 10.0,microsoft,99.95,33,c6q-00002 microsoft digital image suite plus complete package 1 pc cd-rom ( mini box ),,93.33
No,705,2426,0,705,professional home design suite platinum,punch ! software,99.95,2426,punch software 14100 punch ! home design suite professional architectural 1 user ( s ) pc,,59.97
No,1275,2421,0,1275,punch ! super home suite,punch ! software,49.99,2421,punch software 17100 punch ! super home suite,punch software,45.99
No,859,2817,0,859,onone software intellihance pro 4.1,onone software,,2817,onone software ice-10770 intellihance pro 4.1 mac/win ( buy now and get free cs3 compatibility upgrades ),onone software,158.99
No,228,1715,0,228,microsoft licenses win svr 2003 device cal l/sa ( r1800144 ),microsoft licenses,74.59,1715,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58
Yes,1314,654,1,1314,return to castle wolfenstein ( mac ),aspyr media,29.99,654,aspyr media inc return to castle wolfenstein,,19.07
No,1353,3016,0,1353,instant immersion italian deluxe v2 .0 ( large box ),topics entertainment,29.99,3016,instant immers italian dlux 2 .,,36.11
No,513,1093,0,513,mavis beacon typing 17 ( win/mac ),encore software,19.99,1093,mavis beacon ( r ) teaches typing v. 17 deluxe,,37.99
Yes,1297,689,1,1297,quickverse sermon builder 4.0,findex.com inc,69.95,689,findex.com inc sermon builder 4.0,,43.33
Yes,111,1692,1,111,instant play electric guitar deluxe,topics entertainment,39.99,1692,topics entertainment topics entertainment play electric guitar deluxe windows,,39.9
Yes,1139,2197,1,1139,cakewalk sonar 6 producer ed,cakewalk,799.0,2197,cakewalk sonar 6 producers edition software music production software,,459.95
Yes,747,353,1,747,lego star wars ii : the original trilogy for mac,feral interactive,39.99,353,aspyr lego star wars ii,,44.95
No,517,1595,0,517,adobe photoshop cs3 [ mac ],adobe,649.0,1595,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
Yes,458,2619,1,458,stationery design studio,summit software,19.99,2619,stationery design studio ( win 98 me 2000 xp ),,19.99
Yes,1007,815,1,1007,wisdom of the bible holy land edition,hip interactive,29.99,815,tri synergy inc wisdom of the bible holy land edition,,16.01
No,139,1763,0,139,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,1763,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
Yes,119,1774,1,119,sierra hallmark card studio special edition windows ),nova development,,1774,sierrahome hse hallmark card studio special edition win 98 me 2000 xp,sierrahome,19.26
Yes,1344,644,1,1344,sportsman 's double play,masque publishing,19.95,644,masque publishing sportsmans double play,,17.55
No,207,49,0,207,crystal reports 11 professional full product french,business objects,909.66,49,w-1rp-f-wx-00 crystal reports xi professional edition complete package 1 user win fren,,538.5
No,146,1860,0,146,microsoft mappoint 2006 standard edition,microsoft,299.0,1860,b21-00800 microsoft mappoint 2006 complete package 1 pc cd win english,,288.48
No,633,644,0,633,sportsman 's double play,masque,,644,masque publishing sportsmans double play,,17.55
Yes,1265,470,1,1265,3 great games for guys,dreamcatcher interactive,29.99,470,dreamcatcher interactive 3 great games for guys,,26.14
No,1044,2583,0,1044,hoyle puzzle & board games 2007,encore software,19.99,2583,encore software 10027 hoyle board games ( win 98 me 2000 xp ),,7.47
Yes,1115,1427,1,1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,1427,punch software 85100 punch!master landscape pro v10 and home design,,59.97
Yes,746,349,1,746,marketcircle daylite v3 .0 ( mac ),csdc,149.0,349,marketcircle daylite 3 customer relationship management crm,,125.99
No,570,2412,0,570,professor teaches windows xp,individual software,19.99,2412,individual software prm-wn5 professor teaches windows xp,individual software,24.99
Yes,1069,2049,1,1069,hasbro family game collection 2006,encore software,19.99,2049,encore software 11273 hasbro family collection 2006 sb cs by hasbro,,17.97
Yes,1338,650,1,1338,weekly reader mastering high school 2008,fogware publishing,29.99,650,fogware publishing weekly reader ls mastering high school 2008,,24.91
No,660,2907,0,660,usa/world extreme landscapes bundle,abacus,39.95,2907,abacus software s546 usa extreme landscapes for fs2004 and fs2002 3cd set,abacus software,28.99
No,12,1968,0,12,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft,1849.0,1968,sql server std 2005 5-clt x64 microsoft 228-04013,,1471.93
No,3,1034,0,3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,1034,peachtree ( r ) premium accounting 2007,,499.99
Yes,831,2767,1,831,rainbow fish and the whale ( win/mac ),global-software-publishing,9.99,2767,global software a2649m2h rainbow fish & the whale win 95 98 me xp/mac 8.6-9.x ( classic ) x v10 .1 or higher,global-software-publishing,8.79
No,946,1441,0,946,the print shop 21 deluxe by broderbund,encore software,,1441,print shop deluxe 21,,44.9
Yes,1211,547,1,1211,enteractive fps creator windows ),enteractive inc. .,,547,enteractive inc fps creator,,44.58
Yes,1171,905,1,1171,stuffit deluxe 11,aladdin systems,79.99,905,allume stuffit deluxe 11 os x 10.4 or higher,,79.99
No,367,2776,0,367,big oil : build an oil empire,tri synergy,19.99,2776,big oil : build an oil empire,,8.95
No,900,147,0,900,sims 2 seasons expansion pack,aspyr media,34.99,147,sims 2 season expansion pack,,37.99
No,361,1017,0,361,adobe creative suite cs3 web standard upsell,adobe,799.0,1017,adobe creative suite 3 ( cs3 ) web standard 3 windows upsell from dreamweaver or flash,,799.0
No,267,1696,0,267,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ],adobe,149.99,1696,adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0,,139.51
Yes,1079,997,1,1079,tropico 2 : pirate cove ( mac ),destineer inc,29.99,997,destineer tropico 2 : pirate cove,,29.99
Yes,574,3029,1,574,microsoft mappoint 2006 with gps,microsoft,349.0,3029,microsoft mappoint 2006 with gps locator ( pc ),,349.99
No,1132,1015,0,1132,civilization iv dvd-rom ( mac ),aspyr media,49.99,1015,aspyr media sid meiers civilization iv mac,,44.99
No,283,2988,0,283,tonka town ( jewel case ),atari,9.99,2988,tonka town,,7.95
Yes,1040,2350,1,1040,encore the big box of art 410 000 460001 ),encore software,19.99,2350,encore software 460001 the big box of art 410000 95/98/me / nt4/w2k/xp ( win 95 98 me nt 2000 xp ),,17.97
Yes,942,878,1,942,my guitar,emedia,29.95,878,emedia music corp my guitar,,24.81
No,518,1159,0,518,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,1159,microsoft ( r ) office 2004 for mac standard edition upgrade version,,234.95
No,256,1770,0,256,hallmark card studio 2005 deluxe,sierra home,49.99,1770,hgw hallmark card studio 2005 deluxe complete package 1 user cd win,,47.43
No,372,311,0,372,readiris pro 11 corporate edition,iris inc.,399.99,311,iris inc readiris pro 11 corporate edition,,430.58
No,465,70,0,465,adobe creative suite cs3 web standard upgrade [ mac ],adobe,399.0,70,29270077 adobe creative suite 3 web standard product upgrade package 1 user upgrade,,843.15
Yes,26,372,1,26,adobe premiere pro cs3 upgrade,adobe,299.0,372,adobe premiere pro cs3 upgrade,,308.99
Yes,956,2291,1,956,apple logic pro 7.2 retail,apple,999.0,2291,apple/emagic logic pro 7.2 software music production software,,999.0
Yes,20,1241,1,20,millie 's math house ages 3-7 ( win/mac ),ibm - ( aap-misc-parts ),,1241,millies math house,ibm - ( aap-misc-parts ),9.9
Yes,1143,2196,1,1143,crystal 3d impact ! pro 1.25 ( jewel case ),crystalgraphics,79.0,2196,crystal-graphics crystal 3d impact ! pro animation software,,99.95
No,705,1040,0,705,professional home design suite platinum,punch ! software,99.95,1040,punch software 35100 punch ! home design suite professional complete product architectural standard 1 user ( s ) complete product pc,,59.97
No,779,2100,0,779,3d home architect landscape v. 8 by encore software,encore software,39.99,2100,encore software 10634 3d home architect home v. 8 by,,33.97
Yes,199,1717,1,199,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,,1717,902453-007-e rumba unix-hp edition upgrade license 1 user volume level e 1000-1999,,106.48
No,1105,1955,0,1105,punch ! master landscape & home design,punch ! software,59.99,1955,punch software 85100 master landscape professional & home design v 10.0,,61.8
No,1004,1378,0,1004,professor teaches excel & word,individual software,19.99,1378,individual software pmm-xw4 professor teaches excel & word 2007 win 2000 xp vista,,17.97
No,1249,116,0,1249,window washer,navarre ( software ),29.95,116,17911 window washer license and media 1 user cd win,,21.41
Yes,1264,2273,1,1264,punch ! professional home design suite,punch ! software,69.99,2273,punch software 35100 punch ! professional home design suite ( small box ),punch software,62.99
