label_str,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
Yes,1,774,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,367,adobe acrobat v8 .0 professional for mac upgrade,,145.99
Yes,1,688,phase one capture one le,phase one,,250,phase one capture one le,,76.99
Yes,1,1275,punch ! super home suite,punch ! software,49.99,2338,punch software 38100 punch ! super home suite ( small box ),punch software,45.99
Yes,1,759,humorous greeting card factory,nova development,29.99,1949,nova development ghw humorous greeting card factory,nova development,29.99
Yes,1,91,iriscard pro business card scanner,iris,199.99,1681,iris card pro,navarre distribution services,198.87
Yes,1,1287,punch ! 5 in 1 home design,punch ! software,39.99,1035,punch software 24100 punch ! 5 in 1 home design complete product architectural 1 user complete productcomplete productstandard pc,,35.97
Yes,1,1085,burning monkey solitaire 4.0,freeverse software,24.95,985,freeverse burning monkey solitaire 4.0,,24.95
Yes,1,746,marketcircle daylite v3 .0 ( mac ),csdc,149.0,349,marketcircle daylite 3 customer relationship management crm,,125.99
Yes,1,579,h & r block taxcut 2006 premium federal + state + efile,h & r block,59.99,2532,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software,,54.95
Yes,1,586,quickbooks premier professional services edition 2007,intuit,399.95,2530,intuit quickbooks premier professional services edition 2007 software win tax & finance software,,349.95
Yes,1,804,digidesign music production toolkit ( pro tools le ),digidesign,495.0,2599,digidesign music production toolkit music production software,,495.0
Yes,1,892,adobe premiere pro cs3,adobe,799.0,2791,adobe premiere pro cs3 video editing software for windows professional editing software,,798.95
Yes,1,809,hoyle : classic collection 2006,encore,19.99,2585,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97
Yes,1,1105,punch ! master landscape & home design,punch ! software,59.99,2009,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99
Yes,1,618,pop-up stopper professional,panicware,29.99,291,csdc pop-up stopper professional panicware,,26.14
Yes,1,641,sims 2 nightlife expansion pack,aspyr media,34.99,545,aspyr media inc sims 2 nightlife,,33.21
Yes,1,41,imsi turbocad designer v. 11,imsi,39.99,2043,imsi turbocad designer 11,,12.9
Yes,1,1294,jumpstart 4th-6th grade v 2.0 b43,knowledge adventure,19.99,703,knowledge adventure inc. jumpstart 4th-6th grade v 2.0 b43,,16.93
Yes,1,1333,age of empires iii : the warchiefs expansion pack ( mac ),destineer,34.95,629,destineer inc age of empires iii : the warchiefs expansion pack,,26.14
Yes,1,1237,dvo cook 'n deluxe 6.0 ultimate recipe organizer,dvo enterprises,39.99,509,dvo enterprises inc. cookn deluxe 6.0,,34.99
Yes,1,832,global software smart steps 2nd grade windows macintosh ),global software,,2768,global software a0447jch dk smart steps 2nd grade win 95 98 me 2000 xp vista,,9.08
Yes,1,1145,microsoft office 2004 standard ( mac ),microsoft,399.99,904,microsoft office 2004 standard,,369.99
Yes,1,589,quicken 2007 deluxe,intuit,59.95,2367,intuit quicken deluxe 2007 software for windows tax & finance software,,54.95
Yes,1,1012,reel deal slots 2.0 for pc,phantom efx,9.99,813,phantom efx reel deal slots v 2.0,,7.36
Yes,1,1067,evergirl,thq,14.99,12,evergirl : pc cd-rom video game,,14.99
Yes,1,1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,792,punch software master landscape professional & home design v 10.0,,69.99
Yes,1,1264,punch ! professional home design suite,punch ! software,69.99,2273,punch software 35100 punch ! professional home design suite ( small box ),punch software,62.99
Yes,1,785,jewels of cleopatra,encore software,19.95,2576,encore software 11861 jewels of cleopatra win xp vista,,18.97
Yes,1,163,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,1486,hallmark half-fold matte prem . blank greeting cards ( 20 pack ) ( paper ),,10.99
Yes,1,262,hp sp linux we 50 lic/cd 3.0 c t3586a ),hewlett-packard - ( consumables ),,1122,sp linux we 50 lic/cd 3.0 c,hewlett-packard - ( consumables ),69216.95
Yes,1,1190,punch ! professional home design,punch ! software,89.99,2468,punch software 14100 punch ! professional home design suite for windows,punch software,62.99
Yes,1,1202,caillou magical adventures,brighter-minds-media-inc .,19.99,584,caillou magical adventures by brighter minds,brighter-minds-media-inc .,19.99
Yes,1,979,logic express 7,apple computer,299.0,994,apple logic express 7.2,,299.99
Yes,1,40,the print shop 22 deluxe,encore,49.99,2050,the printshop v22 deluxe,,29.9
Yes,1,1250,emedia piano and keyboard method volume 1,emedia,59.99,534,emedia music corp emedia piano & keyboard method,,49.21
Yes,1,801,ulead systems dvd workshop 2,ulead systems,494.99,2602,corel ulead dvd workshop 2 authoring software,,299.95
Yes,1,434,upgrade pitstop server 3.5 1u win 2k/xp & mac os 10.2.8,enfocus software,499.0,2233,enfocus ss3.5-ug-001 pitstop server v. 3.5 upgrade package 1 server for windows and mac,enfocus,471.99
Yes,1,175,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21,1485,diskeeper 2007 professional,,46.95
Yes,1,779,3d home architect landscape v. 8 by encore software,encore software,39.99,2573,encore software 10636 3d home architect landscape v. 8by,,25.97
