label_str,ltable_id,rtable_id,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
Yes,1346,604,1,1346,visual thesaurus the thinkmap inc.,csdc,39.95,604,csdc visual thesaurus the thinkmap inc.,,33.52
Yes,809,2585,1,809,hoyle : classic collection 2006,encore,19.99,2585,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97
Yes,979,2222,1,979,logic express 7,apple computer,299.0,2222,apple/emagic logic express 7.2 software music production software,,299.0
Yes,961,2307,1,961,vegas movie studiodvd +8 plat,sony media,129.95,2307,sony vegas movie studio + dvd v8 platinum edition video editing software professional editing software,,129.95
Yes,599,2501,1,599,instant immersion french deluxe 2.0,topics entertainment,49.99,2501,instant immers french dlx 2,,27.57
Yes,1285,497,1,1285,black & white platinum pack ( mac ),feral interactive,29.99,497,feral interactive limited black & white platinum pack,,27.37
Yes,731,2313,1,731,instant immersion italian platinum,topics entertainment,129.99,2313,instant immersion italian platinum ( win 95 98 me nt 2000 xp ),,129.99
Yes,995,2253,1,995,apple remote desktop 3 unlim managed systems,apple,499.0,2253,apple remote desktop 3 unlimited client edition mac apple & mac software,,498.95
Yes,1012,813,1,1012,reel deal slots 2.0 for pc,phantom efx,9.99,813,phantom efx reel deal slots v 2.0,,7.36
Yes,932,774,1,932,registry mechanic 5.x pc system repair,pc tools,29.95,774,encore software 10598 registry mechanic win 98 me 2000 xp,,26.97
Yes,708,404,1,708,alliance future combat,strategy first,19.99,404,strategy first inc. alliance future combat,,16.37
Yes,1115,1427,1,1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,1427,punch software 85100 punch!master landscape pro v10 and home design,,59.97
Yes,790,2572,1,790,scrabble champion edition,encore,19.95,2572,encore software 11192 scrabble champion edition win 98 me 2000 xp,,18.97
Yes,1119,707,1,1119,apple remote desktop 3 10 managed systems,apple,299.0,707,apple remote desktop 3 ( 10 managed systems ),,299.99
Yes,1190,2468,1,1190,punch ! professional home design,punch ! software,89.99,2468,punch software 14100 punch ! professional home design suite for windows,punch software,62.99
Yes,629,275,1,629,soho labels & envelopes chronos l.c.,chronos,29.99,275,chronos soho labels and envelopes,,29.99
Yes,882,1566,1,882,marine aquarium + sharks,encore software,9.95,1566,marine aquarium + sharks ( win 98 me 2000 xp ),,9.95
Yes,1023,786,1,1023,aquarium 3 in 1 collection limited edition for win/mac,encore software,19.99,786,encore software 10123 aquarium 3-in-one limited edition ( eurpac ) win 95 98 me 2000 xp,,18.97
Yes,1275,2420,1,1275,punch ! super home suite,punch ! software,49.99,2420,punch software 38100 punch ! super home suite ( small box ),punch software,45.99
Yes,1008,1534,1,1008,norton internet security 2008 10 user,symantec,199.99,1534,norton internet security 2008 10 user,,199.99
Yes,1120,942,1,1120,caillou ready for school ( pc & mac ),brighter-minds-media-inc .,19.99,942,caillou ready for school by brighter minds,brighter-minds-media-inc .,19.99
Yes,527,2807,1,527,adobe premiere elements 3.0,adobe,99.99,2807,adobe premiere elements 3 ( pc ),,99.99
Yes,216,485,1,216,adobe illustrator cs3 upgrade from freehand [ mac ],adobe,199.0,485,adobe illustrator cs3 upgrade from freehand for mac,,206.99
Yes,682,272,1,682,mozy 3.0,simply-put-software-llc,,272,simply put software llc mozy 3.0,simply-put-software-llc,43.3
Yes,733,2934,1,733,clickart 1.2 million dvd 2006 by broderbund,encore software,49.99,2934,encore software 10466 clickart 1.2 million dvd 2006 by broderbund,,41.97
Yes,1014,2835,1,1014,elementary advantage 2008,encore,39.99,2835,elementary advantage 2008 encore,,39.95
Yes,994,828,1,994,irispen express translator,iris,149.99,828,iris inc irispen express translator,,142.29
Yes,976,1492,1,976,iaudioize magnetic time for pc and mac,sos aggregation,39.99,1492,iaudioize magnetic time for pc and mac,,39.99
Yes,1181,894,1,1181,the logo creator ( mac ),laughing bird,39.99,894,laughingbird the logo creator,,34.99
Yes,571,3027,1,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95
Yes,360,2856,1,360,fun for kids : preschool kindergarten featuring disney,topics entertainment,29.99,2856,fun for kids featuring disney preschool to kindergarten topics,,29.99
Yes,457,2622,1,457,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99,2622,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99
Yes,1284,1052,1,1284,punch ! master landscape & home design,punch ! software,99.99,1052,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
Yes,1207,538,1,1207,stuffit deluxe 11,aladdin systems,49.99,538,allume systems inc stuffit deluxe 11,,42.74
Yes,839,2607,1,839,adobe photoshop cs3 extended,adobe,999.0,2607,adobe photoshop cs3 extended software full version for windows,,969.0
Yes,1177,1496,1,1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,1496,office mac student/teach 04,,146.02
Yes,264,263,1,264,adobe photoshop cs3 extended [ mac ],adobe,999.0,263,adobe photoshop cs3 extended for mac,,935.99
Yes,683,775,1,683,math advantage 2008,encore,39.99,775,encore software 12390 math advantage 2008 win 2000 xp vista,,34.97
Yes,1145,904,1,1145,microsoft office 2004 standard ( mac ),microsoft,399.99,904,microsoft office 2004 standard,,369.99
Yes,354,2869,1,354,the universe ( win/mac ) ( jewel case ),fogware publishing,9.99,2869,elementary school space the universe ( pc/mac ) fogware,,9.99
Yes,1011,807,1,1011,logic pro 6 upgrade from logic platinum/gold 5 & 6,apple,199.99,807,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update,apple software,149.0
Yes,767,379,1,767,command and conquer generals deluxe dvd-rom ( mac ),aspyr media,59.99,379,aspyr command and conquer generals deluxe mac,,55.99
Yes,1288,493,1,1288,city of heroes good vs. evil edition,nc soft,29.99,493,nc interactive inc city of heroes : good vs. evil edition,,29.84
Yes,245,144,1,245,dora the explorer : dora 's world adventures,activision,19.99,144,dora the explorer : dora world adventures pc cd-rom,,19.99
Yes,1306,705,1,1306,emedia guitarpro 5 win/mac,emedia,59.99,705,emedia music corp guitar pro v 5.1 ( hybrid ),,51.92
Yes,1347,598,1,1347,phonics success essentials : grades 7-9,topics education,19.99,598,topics entertainment phonics success essentials,,17.55
Yes,632,273,1,632,microsoft windows xp professional full version with sp2,microsoft,299.99,273,microsoft windows xp pro sp2 retail,,299.99
Yes,654,314,1,654,acrobat professional 8 ( windows ),adobe,273.0,314,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),,157.36
Yes,1100,2365,1,1100,poser 7 win 2000 xp mac os 10.4 & up,aladdin systems,199.99,2365,poser 7 ( win 2000 xp/mac 10.4 or higher ub ),,199.99
Yes,1021,791,1,1021,resumemaker professional 12.0,individual software,29.99,791,individual software resume maker professional deluxe 12.0,,29.99
Yes,742,2617,1,742,star wars empire at war ( intel only macs ),aspyr media,49.99,2617,star wars empire at war ( mac intel ),,49.99
Yes,1248,1065,1,1248,american idol extreme music creator,sony media,49.95,1065,sony media software american idol extreme music creator software music production software,,49.95
Yes,732,432,1,732,civilization iv warlords ( mac ),aspyr media,29.99,432,civilization iv warlords expansion for mac,,29.99
Yes,759,1949,1,759,humorous greeting card factory,nova development,29.99,1949,nova development ghw humorous greeting card factory,nova development,29.99
Yes,706,405,1,706,world of warcraft expansion : burning crusade,blizzard entertainment,39.99,405,world of warcraft burning crusade,,39.99
Yes,312,577,1,312,norton antivirus 2007,symantec,39.99,577,symantec norton anti-virus 2007 windows,,39.99
Yes,488,2415,1,488,star wars battlefront ( mac ),aspyr media,39.99,2415,aspyr media 10900 star wars battlefront mac,aspyr media,39.99
Yes,1315,656,1,1315,solitaire antics deluxe,masque publishing,,656,masque publishing solitaire antics deluxe,,8.46
Yes,1085,985,1,1085,burning monkey solitaire 4.0,freeverse software,24.95,985,freeverse burning monkey solitaire 4.0,,24.95
Yes,686,248,1,686,lego star wars ( dvd ) ( mac ),aspyr media,29.99,248,aspyr lego star wars,,29.99
Yes,646,307,1,646,instant immersion german audio,topics entertainment,,307,topics entertainment instant immersion german audio,,12.05
Yes,727,439,1,727,ibm viavoice advanced v. 10,nuance-communications-inc .,,439,nuance communications inc. ibm viavoice advanced v. 10,nuance-communications-inc .,57.54
Yes,368,2757,1,368,jumpstart advanced 3rd grade v2 .0,knowledge adventure,19.99,2757,jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure,,19.99
Yes,355,2866,1,355,zonealarm internet security suite,zone labs,49.99,2866,zonealarm internet security suite 2007 ( pc ) zonelabs,,49.99
Yes,1004,794,1,1004,professor teaches excel & word,individual software,19.99,794,individual software professor teaches excel & word,,19.99
Yes,1123,940,1,1123,business card composer ( mac ),belight software,39.99,940,belight business card composer,,39.99
Yes,609,2188,1,609,quicken 2007 for mac,intuit,69.95,2188,intuit quicken mac 2007 software finance software,,69.95
Yes,524,2680,1,524,apple final cut express hd 3.5 ( mac ),apple computer,299.0,2680,apple final cut express hd 3.5 video editing software for mac av production software,,299.0
Yes,718,450,1,718,land before time : kindergarten,brighter-minds-media-inc .,9.99,450,brighter minds land before time : kindergarten,brighter-minds-media-inc .,9.99
Yes,772,2860,1,772,adobe illustrator cs3 [ mac ],adobe,599.0,2860,adobe illustrator cs3 ( mac ),,599.0
Yes,479,2452,1,479,sound studio 3 : record edit add effects to audio ( mac ),freeverse software,79.99,2452,sound studio 3 for mac,,79.99
Yes,1335,628,1,1335,guitar tool worship edition,midisoft corporation,,628,midisoft corporation guitar tool worship edition,,43.36
Yes,570,2861,1,570,professor teaches windows xp,individual software,19.99,2861,professor teaches windows xp individual software,,19.99
Yes,971,836,1,971,instant immersion ingles audio deluxe,topics entertainment,,836,topics entertainment instant immersion ingles audio deluxe,,17.55
Yes,561,2386,1,561,quicken 2007 basic,intuit,29.95,2386,intuit quicken basic 2007 software for windows tax & finance software,,29.95
Yes,578,2821,1,578,microsoft office excel 2007,microsoft,229.95,2821,microsoft excel 2007 ( pc ),,229.95
Yes,1146,927,1,1146,swift publisher for mac,global-marketing-partners,39.99,927,belight swift publisher page layout software,global-marketing-partners,39.99
Yes,746,2632,1,746,marketcircle daylite v3 .0 ( mac ),csdc,149.0,2632,daylite v3 .0 marketcircle ( mac 10.4 or later ),,149.0
Yes,804,2599,1,804,digidesign music production toolkit ( pro tools le ),digidesign,495.0,2599,digidesign music production toolkit music production software,,495.0
Yes,394,2909,1,394,jumpstart advanced 2nd grade v2 .0,knowledge adventure,19.99,2909,jumpstart advanced 2nd grade ( pc/mac ) knowledge adventure,,19.99
Yes,1226,503,1,1226,calculation skills v1 add & sub basic core learning,sos-aggregation-company,,503,sos aggregation company calculation skills v1 add & sub basic core learning,sos-aggregation-company,15.91
Yes,99,1680,1,99,listen for ipod magnetic time,sos-aggregation-company,39.99,1680,listen for ipod magnetic time ( win 2000 xp ),sos-aggregation-company,39.99
Yes,1108,964,1,1108,3d bridge deluxe ( mac ),freeverse software,24.99,964,freeverse 3d bridge deluxe,,24.99
Yes,1202,584,1,1202,caillou magical adventures,brighter-minds-media-inc .,19.99,584,caillou magical adventures by brighter minds,brighter-minds-media-inc .,19.99
Yes,1126,941,1,1126,totally spies : total swamp romp ( pc & mac ),brighter-minds-media-inc .,19.99,941,totally spies total swamp romp by brighter minds,brighter-minds-media-inc .,19.99
Yes,376,2638,1,376,printmaster gold v 17.0,nova development,19.95,2638,printmaster gold v 17.0 ( win 98 me 2000 xp ),,19.95
