label_str,ltable_id,rtable_id,label,id_x,title_x,category_x,brand_x,modelno_x,price_x,id_y,title_y,category_y,brand_y,modelno_y,price_y
Yes,2165,21076,1,2165,targus rg0315c pulse backpack notebook case,computers,targus,,38.88,21076,targus rg0315c pulse backpack for notebooks up to 15.4-inch screens black targus rg0315c 32.82,bags cases,,,
Yes,1209,9717,1,1209,polaroid i1237 pink 12mp digital camera w 3x optical zoom 2.7 lcd display polaroid 68.0,digital cameras,,cia-1237pc,,9717,polaroid cia-1237pc 12 mp digital camera with 3x optical zoom pink point shoot digital cameras cia-1237pc,,polaroid,,69.99
Yes,2257,8356,1,2257,master caster big foot no-slip rubber wedge gray 2pk home care master caster 00972 8.79,,,,,8356,master caster 00972 - big foot doorstop no-slip rubber wedge 2-1 4w x 4-3 4d x 1-1 4h gray 2 pack laminating supplies master caster,,,,
Yes,759,8381,1,759,apricorn 320gb padlock 128-bit hardware-encrypted portable drive,hard drives,apricorn,a25-pl128-320,99.82,8381,apricorn aegis padlock 320 gb usb 2.0 128-bit encrypted portable external hard drive a25-pl128-320 grey 99.0,usb flash drives,apricorn,a25-pl128-320,
Yes,1141,9253,1,1141,western digital elements 500gb portable se portable hard drive black western digital wdbabv5000abk-nesn 71.98,hard drives,,,,9253,western digital wd elements se portable 500 gb usb 2.0 external hard drive,external hard drives,western digital,wdbabv5000abk-nesn,59.99
Yes,2107,8358,1,2107,atrend-bbox a201-12cp b box series single-sealed 10 up-fire enclosure car stereos a201-12cp,,atrend,,60.88,8358,atrend-bbox a201-12cp b box series single-sealed 10 up-fire enclosure for dodge ram quad cab 2002,office electronics,atrend,,93.7
Yes,2088,17263,1,2088,targus red tg-6660tr tripod with 3-way panhead,photography - general,targus,tg-6660tr,29.98,17263,new-targus red tg-6660tr tripod with 3-way panhead 66 - meytg6660tr tripods targus,,,,31.0
Yes,1862,15434,1,1862,sony zx series stereo headphones white sony mdrzx100/whi,electronics - general,,,24.88,15434,sony mdrzx100 whi outdoor headphones 15.49,headphones,sony,mdrzx100/whi,
Yes,920,3246,1,920,xantech sllc1 speaker level to line converter stereos/audio sllc1 40.88,,xantech,,,3246,xantech sllc1 speaker level to line converter,audio video accessories,xantech,sllc1,28.42
Yes,678,8962,1,678,ilive app-enhanced boom box with ipod iphone dock electronics - general ibp391b,,ilive,,63.88,8962,ilive ibp391b portable app-enhanced boombox am fm radio with dock for iphone ipod ibp391b,speaker systems,ilive,,41.24
Yes,1529,1441,1,1529,dell switch by design studio lids fire red 17r 24.0,electronics - general,dell,8cmcy,,1441,switch by design studio fire red 17-inch 24.0,computers accessories,dell,318-1000,
Yes,218,5046,1,218,griffin technology outfit gloss ipod touch 4g black griffin technology gb01967 24.99,mp3 accessories,,,,5046,griffin gb01967 outfit gloss for ipod touch 4g black cases gb01967,,griffin technology,,3.97
Yes,1953,11438,1,1953,startech 3-port 2b 1a 1394 mini pci express firewire card adapter mpex1394b3,electronics - general,startech,,69.0,11438,startech.com 3 port 2b 1a 1394 mini pci express firewire card adapter mpex1394b3 firewire port cards mpex1394b3 61.24,,startech,,
Yes,1217,5249,1,1217,verbatim smartdisk acclaim 320gb usb portable hard drive blue hard drives ver97185,,verbatim,,59.84,5249,verbatim acclaim 320 gb usb 2.0 portable external hard drive 97185 blue verbatim 97185,,,,59.84
Yes,2511,21503,1,2511,lg 42 class lcd 1080p 60hz hdtv 42lk450 electronics : flat panel tv 579.0,,lg,42lk450,,21503,lg 42lk450 42-inch 1080p 60 hz lcd hdtv lg,tvs,,42lk450,
Yes,2230,12949,1,2230,d-link dgs-1008p 8-port gigabit ethernet poe switch 179.99,networking,d-link,dgs1008p,,12949,d-link dgs 1008p - switch - unmanaged - 8 x 10 100 1000 - desktop - poe d-link,switches,,1008p,132.0
Yes,1367,12146,1,1367,razer lycosa gaming keyboard,electronics - general,razer,lycosa,67.84,12146,razer lycosa mirror gaming keyboard - special edition controllers razer rz03-00181400-r3u1,,,,
Yes,2196,19484,1,2196,netgear ant 9dbi in outdoor omni-direc,computers,netgear,ant240920000s,129.82,19484,ant 9dbi in outdoor omni-direc netgear,connectors adapters,,,
Yes,841,7503,1,841,sony portable handycam ac adaptor camera and camcorder accessories acl100,,sony,,45.0,7503,sony ac-l100 portable handycam ac adaptor for dcr-dvd 301 dcr-vx2100 hdr-fx1 camcorders sony 19.69,camcorder batteries,,ac-l100,
Yes,547,9295,1,547,verbatim 96438 2gb store n go usb 2.0 flash drive usb drives 96438 14.84,,verbatim,,,9295,verbatim store n go 2 gb usb 2.0 flash drive 96438 metallic pink usb flash drives verbatim 96438,,,,9.99
Yes,719,6972,1,719,hp q6511a hp 11a toner 6000 page-yield black 191.03,printers,hp,q6511a,,6972,hp q6511a laserjet 11a black print cartridge in retail packaging q6511a,laser printer toner,hp,,
Yes,29,6031,1,29,vantec nexstar mx dual 3.5 sata hard drive enclosure electronics - general vantec 49.71,,,nst-400mx-s2,,6031,vantec nexstar mx nst-400mx-s2 dual 3.5-inch sata to usb 2.0 with jbod external hard drive enclosure black hard drive enclosures nst-400mx-s2,,vantec,,44.99
Yes,1145,2867,1,1145,kodak easyshare m531 red 14mp digital camera w 3x optical zoom 2.7 lcd display w 50 bonus prints digital cameras m531 red,,kodak,,89.0,2867,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,,,,
Yes,54,6572,1,54,canon imageformula dr-2010c compact color scanner electronics - general canon dr-2010c,,,,479.98,6572,canon 2454b002 imageformula dr-2010c compact color scanner,scanners,canon,2454b002,400.0
Yes,2515,4424,1,2515,corsair 115gb solid state drive corsair force series corsair,hard drives,,cssdf115gbp2brk,261.25,4424,corsair force series 115 gb sata 3.0 gb-s 2.5-inch high performance sata ii solid state drive f115gb2-brkt-a computer components corsair cssd-f115gb2-brkt-a,,,,178.12
Yes,2101,15843,1,2101,elite m150xwv1 screens manual projection screen electronics - general,,elite screens,m150xwv1,187.84,15843,elite screens manual pull down projection screen 4 3 aspect ratio-150in matte white m150xwv1 192.77,projection screens,elite screens,,
Yes,635,7145,1,635,nikon coolpix p500 12.1 mp black digital camera 4-144mm zoom nikkor lens 3 lcd display hd video w 50 bonus prints digital cameras nikon 389.44,,,26256,,7145,nikon coolpix p500 12.1 cmos digital camera with 36x nikkor wide-angle optical zoom lens and full hd 1080p video black point shoot digital cameras nikon,,,p500 black,
Yes,2194,5101,1,2194,fellowes hd precision cordless mouse fellowes,mice,,98904,44.84,5101,fellowes hi def mouse cordless-5btn silver blue usb 98904 fellowes,mice,,98904,44.84
Yes,725,16800,1,725,c-line top-load poly sheet protectors heavy gauge letter 200ct stationery & office machinery 62097 28.94,,,,,16800,c-line 62097 - top-load polypropylene sheet protectors heavy gauge letter 200 box c-line,storage presentation materials,,,
Yes,2078,3894,1,2078,dymo d1 standard tape cartridge for dymo label makers 1 4in x 23ft black on clear stationery & office machinery dymo 43610 17.27,,,,,3894,dymo d-1 tape 0.25 inches x 23 feet black on clear 1 card 43610 labeling tapes,,dymo,43610,
Yes,1473,3248,1,1473,xantech cpl10 rf ir coupler stereos/audio xantech,,,cpl10,11.88,3248,xantech cpl10 rf ir coupler storage presentation materials xantech 25.5,,,,
Yes,1457,8346,1,1457,avery metal rim key tags card stock metal 1-1 4 diameter 50 pack avery 7.42,accessories apparel,,,,8346,avery 11025 - metal rim key tags card stock metal 1-1 4 diameter white 50 pack 9.63,,avery,,
Yes,1832,13396,1,1832,arkon sgt-7ss sun shade for samsung galaxy tab arkon,car stereos,,sgt-7ss,16.88,13396,sun shade for samsung galaxy tab computers accessories arkon 19.95,,,,
Yes,1607,13172,1,1607,maxell couleur series ear buds purple maxell 190238 16.18,mp3 accessories,,,,13172,new-purple couleur series ear buds - de6235 headphones 21.0,,maxell,,
Yes,469,2720,1,469,midland xtc200 hd 720p extreme action camera midland,camcorders,,xtc200,155.88,2720,midland xtc200 hd 720p extreme action camera sports outdoor gps midland 182.6,,,,
Yes,1402,20183,1,1402,adesso gp-160pb easy cat 2 button glidepoint touchpad - electrostatic - ps 2 gp-160pb,mice,adesso,,34.82,20183,easycat 2button ps 2 touchpad blk cirque glidepoint technology gp-160pb,touch pads,adesso,,27.99
Yes,1983,6913,1,1983,incipio smart feather for apple ipad 2 lime electronics - general incipio ipad-228,,,,33.25,6913,incipio smart feather case for apple ipad 2 - lime ipad-228 cases sleeves incipio ipad-228 29.18,,,,
Yes,2253,11265,1,2253,visontek wireless candyboard mini keyboard with touchpad visiontek 59.82,electronics - general,,900319,,11265,visiontek candyboard wireless mini keyboard with touchpad 900319 keyboard mouse combos visiontek 900319,,,,49.99
Yes,2266,1616,1,2266,lyoto machida mouse pad mice 86210010 16.99,,wincraft,,,1616,lyoto machida mouse pad wincraft 16.99,mouse pads,,,
Yes,739,11687,1,739,read right pathkleen printer roller cleaner sheets 8 1 2 10pk read right rr1237 9.84,printers,,,,11687,printer roller cleaner removes excess toner paper particles 8-1 2 x11 10 box rrtrr1237 dlt cleaning cartridges,,read right,,7.06
Yes,1349,4659,1,1349,night owl security products ccd wired color security camera with 60 cable 67.82,garden - general,night owl,cam-s420-245a,,4659,night owl security products cam-s420-245 ccd wired color security camera with 60 of cable surveillance cameras night owl optics cam-s420-245,,,,49.99
Yes,2160,9858,1,2160,nikon d3000 black 10.2 mp dslr camera kit with af-s dx nikkor 18-55mm f 3.5-5 .6 g vr lens w 50 bonus prints nikon d3000 kit 443.99,digital cameras,,,,9858,nikon d3000 10.2 mp digital slr camera with 18-55mm f 3.5-5 .6 g af-s dx vr nikkor zoom lens digital slr cameras nikon d3000 18-55mm kit,,,,
Yes,1187,5479,1,1187,sony dsc-h70 black 16.2 mp digital camera bundle w 10x optical zoom 3.0 lcd display case and 4gb sd card w 50 bonus prints 229.0,digital cameras,sony,dsc-h70 / bbdl,,5479,sony cyber-shot dsc-h70 16.1 mp digital still camera with 10x wide-angle optical zoom g lens and 3.0-inch lcd black bundle dsch70/bbdl,point shoot digital cameras,sony,,
Yes,496,4496,1,496,case logic universal pocket - camouflage mp3 accessories 122245 9.59,,case logic,,,4496,case logic upc-2 mossy oak universal pocket case logic upc-2,cases bags,,,11.99
Yes,1140,9097,1,1140,genius luxemate t810 wireless keyboard genius 31340145100,electronics - general,,,89.99,9097,genius luxemate t810 31340145100 media keyboard computers accessories genius 31340145100 62.67,,,,
Yes,2209,17162,1,2209,bankers box super stor drawer file ltr steel plastic 12-3 4 x 23 x 10-1 2 blk we 6 ctn bankers box 179.99,storage,,,,17162,new-bankers box 00371 - super stor drawer file storage box letter steel plastic black white 6 carton - fel00371 storage presentation materials bankers box,,,,
Yes,1843,4900,1,1843,imation 46157 dc6250 data cartridge imation 46157,mp3 accessories,,,38.88,4900,imation dc6250 250 500mb cartridge 3m 1-pack data cartridges imation 42482 29.0,,,,
Yes,1628,6288,1,1628,sirius outdoor home antenna satellite radio sirius 42.64,,,sha1,,6288,audiovox sirius sha1 outdoor home antenna grey terk,radio antennas,,sha1,33.72
Yes,1657,16332,1,1657,guardian flexstep antifatigue polypropylene rubber mat 24 x 36 black home care 24020300 36.97,,guardian,,,16332,guardian 24020300 - flexstep rubber antifatigue mat polypropylene 24 x 36 black printer accessories guardian,,,,
Yes,2508,11582,1,2508,sanus powerbridge in wall power and cable management electronics - general sanus,,,,84.99,11582,sanus systems elm805-b1 power bridge in-wall power and cable management black sanus elm805-b1 87.0,,,,
Yes,2193,9730,1,2193,plustek bookreader v100 - b66-bbe21-a plustek 539.88,computers,,b66-bbe21-a,,9730,plustek book reader v100 plustek 476.7,scanners,,b66-bbe21-a,
Yes,93,8350,1,93,audiovox sirius catv distribution kit satellite radio scdk1 42.64,,audiovox,,,8350,audiovox sirius scdk1 outdoor antenna catv distribution kit 33.96,accessories,audiovox,scdk1,
Yes,1190,10706,1,1190,marware eco-flip ipad 2 case black mp3 accessories,,marware,602956008545,43.99,10706,marware eco-flip for ipad 2 black 602956008545 cases sleeves 602956008545,,marware,,23.41
Yes,2540,5175,1,2540,zyxel homeplug av 200mbps powerline wall plug adapter networking 47.92,,zyxel,pla401v3,,5175,zyxel pla401v3 homeplug av 200 mbps powerline wall-plug adapter powerline network adapters pla401v3,,zyxel,,47.92
Yes,741,11537,1,741,simplism shoulder case for ipad red mp3 accessories simplism trlcslipaddren,,,,58.76,11537,simplism leather collection shoulder leather case for ipad deep red cases sleeves,,simplism,tr-lcslipad-dr/en,21.85
Yes,2317,15825,1,2317,logitech f540 wireless headset logitech 981-000277,electronics - general,,,163.0,15825,logitech wireless headset f540 with stereo game audio,accessories supplies,logitech,,119.99
Yes,1908,20111,1,1908,middle atlantic designer inspired ultra quiet fan panel 525.0,tv accessories,middle atlantic,uqfp-4dra,,20111,middle atlantic designer inspired ultra quiet fan panel uqfp-4dra - rack fan kit - black home audio theater 372.42,,middle atlantic,uqfp-4dra,
Yes,648,4759,1,648,lexar media lmspd8gbbsbna 8gb platinum ii memory stick pro duo card lexar media 22.99,usb drives,,lmspd8gbbsbna,,4759,lexar media 8 gb flash memory card lmspd8gbbsbna lmspd8gbbsbna,blank media,lexar,,22.51
Yes,1044,3009,1,1044,ifrogz ipod touch 4 luxe original case blue black,mp3 accessories,ifrogz,it4lo-blu/blk,29.99,3009,ifrogz it4lo-blu blk luxe original for ipod touch 4g - blue black ifrogz 20.73,cases,,it4lo-blu/blk,
Yes,1230,4667,1,1230,maxell mygen usb 4gb auto photo backup usb drives 665107,,maxell,,26.88,4667,maxell mygen flash auto backup 4 gb photo my4p black maxell 665107 20.25,usb flash drives,,,
Yes,905,19636,1,905,targus akb04us slim internet media usb keyboard targus 29.0,computers,,akb04us,,19636,targus slim internet media usb keyboard akb04us targus akb04us,keyboards,,,16.99
Yes,108,21709,1,108,imation 26607 rdx cartridge hard drive,hard drives,imation,26607,117.84,21709,imation rdx removable hard disk cartridge 160gb blank media imation,,,26607,108.0
Yes,1121,14109,1,1121,polaroid i1237 red 12.0 mp digital camera w 3x optical zoom 2.7 lcd display digital cameras 58.88,,polaroid,cim-1237r,,14109,polaroid cim-1237r 12 mp digital camera with 3x optical zoom red cim-1237r,point shoot digital cameras,polaroid,,58.29
Yes,2324,20693,1,2324,motorola netopia 3346n-ent broadband router motorola 103.84,networking,,3346n-ent,,20693,netopia 3346n-ent adsl adsl2 modem 4 port switch routers 3346n-ent 107.99,,netopia,,
Yes,398,16514,1,398,pendaflex two-ply dark kraft file folders top tab brown 100 box rk15313 51.79,stationery & office machinery,,,,16514,new-pendaflex rk15313 - two-ply dark kraft file folders 1 3 cut top tab legal brown 100 box - essrk15313 pendaflex,laminating supplies,,,
Yes,1413,2788,1,1413,logitech 910-002463 wireless mouse m305 silver filament mice 910-002463 28.88,,logitech,,,2788,logitech wireless mouse m305 silver filament 910-002463 mice logitech,,,910-002463,20.95
Yes,902,6661,1,902,midland behind-the-head 2-way radio headset 2-pack avp-h5,phones,midland,,22.27,6661,midland avph5 behind the head headsets pair headsets microphones,,midland,avph5,22.27
Yes,931,6451,1,931,crosley radio keepsake usb turntable tan stereos/audio,,arkon,cr249-ta,118.0,6451,crosley cr249-ta radio keepsake usb turntable-tan crosley 111.86,turntables,,cr249 ta,
Yes,950,15942,1,950,asus 22 lcd monitor vw224t asus vw224t 144.0,monitors,,,,15942,asus vw224t - 22-inch wide lcd monitor monitors asus vw224t 144.0,,,,
Yes,1193,4493,1,1193,ape case ac165 digital camera case ac165,photography - general,ape case,,12.85,4493,ape case small digital camera bag ac165 cases bags norazza,,,ac165,12.85
Yes,181,12012,1,181,amzer 10 neoprene reversible sleeve carry case ebony black sea green electronics - general amzer 16.88,,,90805,,12012,amzer neoprene sleeve 10-inch reversible carry case cover - ebony black sea green amz90805 amzer amz90805,bags cases,,,16.88
Yes,500,12544,1,500,cobra highgear noise-canceling external speaker stereos/audio 17.03,,cobra,hg-s300,,12544,cobra hg s300 highgear external noise-cancelling speaker speakers cobra hg s300 17.03,,,,
Yes,239,10617,1,239,netgear wireless router for video and gaming networking wndr37av-100nas,,netgear,,129.0,10617,netgear wireless router for video and gaming wndr37av netgear wndr37av-100nas 119.99,routers,,,
Yes,1137,4429,1,1137,cooler master hyper tx 3 with intel amd support 19.99,electronics - general,coolermaster,rr-910-htx3-g1,,4429,cooler master rr-910-htx3-g1 130-watt 92mm hyper tx3 cpu cooler for 775 1156 amd am2 am3 rr-910-htx3-g1,computers accessories,cooler master,,19.97
Yes,1952,1769,1,1952,pc treasures clickit classic mouse black 07667 16.8,mice,pc treasures,,,1769,pc treasures clickit classic mouse - black 07667 mice,,pc treasures,07667,16.8
Yes,1391,2976,1,1391,inland pro 8-sheet paper shredder stationery & office machinery inland 47.54,,,05302,,2976,inland pro 8-sheet paper shredder 05302 shredders inland 47.54,,,05302,
Yes,1513,1592,1,1513,snapshield p2 polycarbonate case ipad 2 smoke mp3 accessories scosche ipd2pcbk,,,,20.88,1592,scosche snapshield p2 polycarbonate case ipad 2 - smoke ipd2pcbk scosche ipd2pcbk,laptop netbook computer accessories,,,
Yes,1901,10882,1,1901,inland pro dual lcd monitor arm black inland,monitors,,05321,89.0,10882,inland pro dual lcd monitor arm black 05321 monitor arms stands,,inland pro,05321,89.0
Yes,78,12347,1,78,case logic 18 laptop case electronics - general 147735 39.99,,case logic,,,12347,case logic vnc-218 18-inch laptop case black laptop netbook computer accessories case logic vnc-218 29.24,,,,
