label_str,ltable_id,rtable_id,label,title_x,authors_x,venue_x,year_x,title_y,authors_y,venue_y,year_y
Yes,393,2250,1,"data grid management systems arun jagatheesan , arcot rajasekar 2003",,sigmod conference,,data grid management systems 2003,"arun jagatheesan , arcot rajasekar",international conference on management of data,
Yes,412,1523,1,shore : combining the best features of oodbms and file systems,shore team,sigmod conference,1995.0,shore : combining the best features of oodbms and file systems international conference on management of data,corporate the shore team,,1995.0
Yes,431,1181,1,"scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies prabhakar raghavan , byron dom , rakesh agrawal , soumen chakrabarti 1998",,vldb j.,,"scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies 1998","soumen chakrabarti , byron dom , rakesh agrawal , prabhakar raghavan",the vldb journal -- the international journal on very large data bases,
Yes,460,369,1,temporal statement modifiers acm trans . database syst .,"richard t. snodgrass , christian s. jensen , michael h. böhlen",,2000.0,temporal statement modifiers 2000,"michael h. b &#246; hlen , christian s. jensen , richard thomas snodgrass",acm transactions on database systems ( tods ),
Yes,471,1239,1,guest editorial alon y. halevy vldb j. 2002,,,,guest editorial alon y. halevy,,the vldb journal -- the international journal on very large data bases,2002.0
Yes,527,51,1,walrus : a similarity retrieval algorithm for image databases,"rajeev rastogi , kyuseok shim , apostol natsev",sigmod conference,1999.0,"walrus : a similarity retrieval algorithm for image databases apostol natsev , rajeev rastogi , kyuseok shim international conference on management of data 1999",,,
Yes,534,187,1,random sampling for histogram construction : how much is enough ? 1998,"vivek r. narasayya , rajeev motwani , surajit chaudhuri",sigmod conference,,random sampling for histogram construction : how much is enough ?,"surajit chaudhuri , rajeev motwani , vivek narasayya",international conference on management of data,1998.0
Yes,535,584,1,"qualitative representation of spatial knowledge in two-dimensional space dimitris papadias , timos k. sellis",,vldb j.,1994.0,qualitative representation of spatial knowledge in two-dimensional space 1994,"dimitris papadias , timos sellis",the vldb journal -- the international journal on very large data bases,
Yes,536,2031,1,"birn-m : a semantic mediator for solving real-world neuroscience problems bertram ludäscher , maryann e. martone , amarnath gupta",,sigmod conference,2003.0,"birn-m : a semantic mediator for solving real-world neuroscience problems amarnath gupta , bertram lud &#228; scher , maryann e. martone international conference on management of data 2003",,,
Yes,572,1385,1,offering a precision-performance tradeoff for aggregation queries over replicated data vldb,"jennifer widom , chris olston",,2000.0,offering a precision-performance tradeoff for aggregation queries over replicated data very large data bases,"chris olston , jennifer widom",,2000.0
Yes,573,1330,1,"tavant system architecture for sell-side channel management subbu n. subramanian , srinivasa narayanan",,vldb,2001.0,tavant system architecture for sell-side channel management,"srinivasa narayanan , subbu n. subramanian",very large data bases,2001.0
Yes,576,644,1,"efficient evaluation of queries in a mediator for websources tolga urhan , laura bright , vladimir zadorozhny , maria-esther vidal , louiqa raschid 2002",,sigmod conference,,efficient evaluation of queries in a mediator for websources,"vladimir zadorozhny , louiqa raschid , maria esther vidal , tolga urhan , laura bright",international conference on management of data,2002.0
Yes,587,144,1,control : continuous output and navigation technology with refinement on-line 1998,"bruce lo , tali roth , ron avnur , joseph m. hellerstein , chris olston , kirk wylie , bhaskaran raman , vijayshankar raman",sigmod conference,,control : continuous output and navigation technology with refinement on-line international conference on management of data 1998,"ron avnur , joseph m. hellerstein , bruce lo , chris olston , bhaskaran raman , vijayshankar raman , tali roth , kirk wylie",,
Yes,588,1729,1,"a metadatabase system for semantic image search by a mathematical model of meaning yasushi kiyoki , takanari hayama , takashi kitagawa sigmod record",,,1994.0,a metadatabase system for semantic image search by a mathematical model of meaning 1994,"yasushi kiyoki , takashi kitagawa , takanari hayama",acm sigmod record,
Yes,591,120,1,"dynamic service matchmaking among agents in open information environments matthias klusch , katia p. sycara , seth widoff , jianguo lu",,sigmod record,1999.0,dynamic service matchmaking among agents in open information environments acm sigmod record 1999,"katia sycara , matthias klusch , seth widoff , jianguo lu",,
Yes,614,20,1,"the need for distributed asynchronous transactions lyman do , prabhu ram , pamela drew",,sigmod conference,1999.0,"the need for distributed asynchronous transactions lyman do , prabhu ram , pamela drew 1999",,international conference on management of data,
Yes,692,1761,1,repositories and object oriented databases philip a. bernstein,,sigmod record,1998.0,repositories and object oriented databases,philip a. bernstein,acm sigmod record,1998.0
Yes,696,1875,1,middle east technical university software research and development center sigmod record 1996,asuman dogac,,,middle east technical university software research and development center 1996,asuman dogac,acm sigmod record,
Yes,699,677,1,"dynamic multidimensional histograms piotr indyk , sudipto guha , nitin thaper , nick koudas 2002",,sigmod conference,,dynamic multidimensional histograms international conference on management of data,"nitin thaper , sudipto guha , piotr indyk , nick koudas",,2002.0
Yes,701,789,1,"aggregation algorithms for very large compressed data warehouses jaideep srivastava , jianzhong li , doron rotem",,vldb,1999.0,"aggregation algorithms for very large compressed data warehouses jianzhong li , doron rotem , jaideep srivastava very large data bases 1999",,,
Yes,706,345,1,"the design and performance evaluation of alternative xml storage strategies david j. dewitt , jianjun chen , chun zhang , feng tian 2002",,sigmod record,,the design and performance evaluation of alternative xml storage strategies acm sigmod record 2002,"feng tian , david j. dewitt , jianjun chen , chun zhang",,
Yes,724,1400,1,"novel approaches in query processing for moving object trajectories yannis theodoridis , dieter pfoser , christian s. jensen 2000",,vldb,,novel approaches in query processing for moving object trajectories,"dieter pfoser , christian s. jensen , yannis theodoridis",very large data bases,2000.0
Yes,731,259,1,selectivity estimation using probabilistic models sigmod conference,"daphne koller , lise getoor , benjamin taskar",,2001.0,"selectivity estimation using probabilistic models lise getoor , benjamin taskar , daphne koller international conference on management of data 2001",,,
Yes,736,1327,1,warehousing workflow data : challenges and opportunities vldb,"umeshwar dayal , ming-chien shan , angela bonifati , fabio casati",,2001.0,"warehousing workflow data : challenges and opportunities angela bonifati , fabio casati , umeshwar dayal , ming-chien shan 2001",,very large data bases,
Yes,744,1072,1,"algorithms for materialized view design in data warehousing environment kamalakar karlapalem , jian yang , qing li vldb 1997",,,,"algorithms for materialized view design in data warehousing environment jian yang , kamalakar karlapalem , qing li 1997",,very large data bases,
Yes,767,271,1,reconciling schemas of disparate data sources : a machine-learning approach sigmod conference 2001,"anhai doan , pedro domingos , alon y. halevy",,,"reconciling schemas of disparate data sources : a machine-learning approach anhai doan , pedro domingos , alon y. halevy international conference on management of data 2001",,,
Yes,768,1170,1,optimal clip ordering for multi-clip queries vldb j.,"raymond t. ng , paul shum",,1998.0,optimal clip ordering for multi-clip queries,"raymond t. ng , paul shum",the vldb journal -- the international journal on very large data bases,1998.0
Yes,772,962,1,algorithms for querying by spatial structure vldb,"nikos mamoulis , dimitris papadias , vasilis delis",,1998.0,algorithms for querying by spatial structure,"dimitris papadias , nikos mamoulis , vasilis delis",very large data bases,1998.0
Yes,789,178,1,electronic commerce : tutorial sigmod conference 1998,"nabil r. adam , yelena yesha",,,"electronic commerce : tutorial nabil r. adam , yelena yesha international conference on management of data",,,1998.0
Yes,793,1061,1,the double life of the transaction abstraction : fundamental principle and evolving system concept vldb 1995,henry f. korth,,,the double life of the transaction abstraction : fundamental principle and evolving system concept 1995,henry f. korth,very large data bases,
Yes,797,755,1,mpeg-7 and multimedia database systems harald kosch 2002,,sigmod record,,mpeg-7 and multimedia database systems harald kosch acm sigmod record 2002,,,
Yes,801,908,1,parameterized complexity for the database theorist sigmod record,martin grohe,,2002.0,parameterized complexity for the database theorist,martin grohe,acm sigmod record,2002.0
Yes,809,1015,1,"dtl 's dataspot : database exploration using plain language gadi entin , shai geva , shaul dar , eran palmon 1998",,vldb,,dtl 's dataspot : database exploration using plain language,"shaul dar , gadi entin , shai geva , eran palmon",very large data bases,1998.0
Yes,835,1612,1,"managing video data in a mobile environment rafael alonso , yuh-lin chang , v. s. mani , liviu iftode 1995",,sigmod record,,managing video data in a mobile environment 1995,"rafael alonso , yuh-lin chang , liviu iftode , v. s. mani",acm sigmod record,
Yes,850,560,1,"interviewing during a tight job market zachary g. ives , qiong luo sigmod record 2002",,,,interviewing during a tight job market acm sigmod record,"zachary g. ives , qiong luo",,2002.0
Yes,852,841,1,datawarehousing has more colours than just black & white vldb 1999,"thomas zurek , markus sinnwell",,,"datawarehousing has more colours than just black & ; white thomas zurek , markus sinnwell",,very large data bases,1999.0
Yes,884,1358,1,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( keynote ) vldb 2000","james l. edwards , meridith a. lane , ebbe nielsen",,,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( keynote ) meridith a. lane , james l. edwards , ebbe nielsen",,very large data bases,2000.0
Yes,886,1899,1,an orthogonally persistent java 1996,"mick j. jordan , susan spence , laurent daynès , malcolm p. atkinson , tony printezis",sigmod record,,"an orthogonally persistent java m. p. atkinson , l. dayn &#232; s , m. j. jordan , t. printezis , s. spence acm sigmod record",,,1996.0
Yes,888,2006,1,integration of electronic tickets and personal guide system for public transport using mobile terminals sigmod conference 2003,"yahiko kambayashi , koichi goto",,,integration of electronic tickets and personal guide system for public transport using mobile terminals international conference on management of data,"koichi goto , yahiko kambayashi",,2003.0
Yes,894,474,1,"eiha ?!? : deploying web and wap services using xml technology jean-christophe r. pazzaglia , chiara biancheri , gavino paddeu sigmod record",,,2001.0,"eiha ?!? : deploying web and wap services using xml technology chiara biancheri , jean-christophe pazzaglia , gavino paddeu acm sigmod record",,,2001.0
Yes,912,145,1,amdb : an access method debugging tool,"joseph m. hellerstein , mehul a. shah , marcel kornacker",sigmod conference,1998.0,amdb : an access method debugging tool international conference on management of data,"marcel kornacker , mehul shah , joseph m. hellerstein",,1998.0
Yes,930,770,1,from data independence to knowledge independence : an on-going story laurent vieille,,vldb,1998.0,from data independence to knowledge independence : an on-going story very large data bases,laurent vieille,,1998.0
Yes,969,133,1,ensuring consistency in multidatabases by preserving two-level serializability sharad mehrotra acm trans . database syst .,,,1998.0,ensuring consistency in multidatabases by preserving two-level serializability acm transactions on database systems ( tods ) 1998,"sharad mehrotra , rajeev rastogi , henry f. korth , abraham silberschatz",,
Yes,971,1152,1,"synchronization and recovery in a client-server storage system alexandros biliris , euthimios panagos vldb j.",,,1997.0,"synchronization and recovery in a client-server storage system e. panagos , a. biliris",,the vldb journal -- the international journal on very large data bases,1997.0
Yes,979,156,1,olympic records for data at the 1998 nagano games edwin r. lassettre,,sigmod conference,1998.0,olympic records for data at the 1998 nagano games 1998,edwin r. lassettre,international conference on management of data,
Yes,995,1445,1,"bigsur : a system for the management of earth science data paul brown , michael stonebraker 1995",,vldb,,bigsur : a system for the management of earth science data very large data bases 1995,"paul brown , michael stonebraker",,
Yes,996,1552,1,"data management research at the mitre corporation arnon rosenthal , edward lafferty , leonard j. seligman , catherine d. mccollum , bhavani m. thuraisingham , barbara t. blaustein 1995",,sigmod record,,data management research at the mitre corporation acm sigmod record 1995,"arnon rosenthal , len seligman , catherine mccollum , barbara blaustein , bhavani thuraisingham , edward lafferty",,
Yes,1000,261,1,monitoring xml data on the web sigmod conference 2001,"benjamin nguyen , serge abiteboul , gregory cobena , mihai preda",,,monitoring xml data on the web international conference on management of data 2001,"benjamin nguyen , serge abiteboul , gr &#233; gory cobena , miha &#237; preda",,
Yes,1006,727,1,"the sdss skyserver : public access to the sloan digital sky server data tanu malik , jordan raddick , alexander s. szalay , peter z. kunszt , jim gray , christopher stoughton , ani thakar , jan vandenberg",,sigmod conference,2002.0,the sdss skyserver : public access to the sloan digital sky server data 2002,"alexander s. szalay , jim gray , ani r. thakar , peter z. kunszt , tanu malik , jordan raddick , christopher stoughton , jan vandenberg",international conference on management of data,
Yes,1038,1859,1,transactional client-server cache consistency : alternatives and performance acm trans . database syst . 1997,"michael j. franklin , michael j. carey , miron livny",,,transactional client-server cache consistency : alternatives and performance acm transactions on database systems ( tods ) 1997,"michael j. franklin , michael j. carey , miron livny",,
Yes,1050,1320,1,"querying xml views of relational data jerry kiernan , jayavel shanmugasundaram , catalina fan , eugene j. shekita , john funderburk vldb 2001",,,,querying xml views of relational data,"jayavel shanmugasundaram , jerry kiernan , eugene j. shekita , catalina fan , john funderburk",very large data bases,2001.0
Yes,1051,1019,1,"clustering categorical data : an approach based on dynamical systems prabhakar raghavan , david gibson , jon m. kleinberg",,vldb,1998.0,"clustering categorical data : an approach based on dynamical systems david gibson , jon m. kleinberg , prabhakar raghavan very large data bases",,,1998.0
Yes,1055,997,1,resource scheduling for composite multimedia objects,"yannis e. ioannidis , minos n. garofalakis , banu özden",vldb,1998.0,"resource scheduling for composite multimedia objects minos n. garofalakis , yannis e. ioannidis , banu &#214; zden very large data bases 1998",,,
Yes,1076,1919,1,open gis and on-line environmental libraries 1997,kenn gardels,sigmod record,,open gis and on-line environmental libraries kenn gardels 1997,,acm sigmod record,
Yes,1080,320,1,"database research at the indian institute of technology , bombay 1996","s. seshadri , nandlal l. sarda , d. b. phatak , s. sudarshan",sigmod record,,"database research at the indian institute of technology , bombay 1996","d. b. phatak , n. l. sarda , s. seshadri , s. sudarshan",acm sigmod record,
Yes,1114,756,1,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )","dennis shasha , philippe bonnet",sigmod conference,2002.0,"database tuning : principles , experiments , and troubleshooting techniques ( part ii ) dennis shasha , philippe bonnet international conference on management of data",,,2002.0
Yes,1117,1074,1,"efficient user-adaptable similarity search in large multimedia databases thomas seidl , hans-peter kriegel vldb 1997",,,,efficient user-adaptable similarity search in large multimedia databases very large data bases 1997,"thomas seidl , hans-peter kriegel",,
Yes,1119,1614,1,an annotated bibliography on real-time database systems 1995,özgür ulusoy,sigmod record,,an annotated bibliography on real-time database systems &#214; zg &#252; r ulusoy acm sigmod record 1995,,,
Yes,1120,1092,1,effective & efficient document ranking without using a large lexicon yasushi ogawa 1996,,vldb,,effective & ; efficient document ranking without using a large lexicon yasushi ogawa very large data bases,,,1996.0
Yes,1134,2026,1,data quality and data cleaning : an overview,"theodore johnson , tamraparni dasu",sigmod conference,2003.0,"data quality and data cleaning : an overview theodore johnson , tamraparni dasu international conference on management of data 2003",,,
Yes,1154,430,1,"efficient and extensible algorithms for multi query optimization s. sudarshan , siddhesh bhobe , s. seshadri , prasan roy 2000",,sigmod conference,,"efficient and extensible algorithms for multi query optimization prasan roy , s. seshadri , s. sudarshan , siddhesh bhobe international conference on management of data",,,2000.0
Yes,1158,175,1,microsoft universal data access platform sigmod conference 1998,"michael pizzo , josé a. blakeley",,,microsoft universal data access platform international conference on management of data 1998,"jos &#233; a. blakeley , michael j. pizzo",,
Yes,1164,329,1,"querying atsql databases with temporal logic jan chomicki , david toman , michael h. böhlen 2001",,acm trans . database syst .,,querying atsql databases with temporal logic acm transactions on database systems ( tods ) 2001,"jan chomicki , david toman , michael h. b &#246; hlen",,
Yes,1182,818,1,"ghost : fine granularity buffering of indexes cheng hian goh , kian-lee tan , beng chin ooi , d. sim vldb 1999",,,,"ghost : fine granularity buffering of indexes cheng hian goh , beng chin ooi , d. sim , kian-lee tan very large data bases",,,1999.0
Yes,1194,2177,1,"a requirement-based approach to data modeling and re-engineering christian t. ramiller , alice h. muntz vldb",,,1994.0,"a requirement-based approach to data modeling and re-engineering alice h. muntz , christian t. ramiller very large data bases 1994",,,
Yes,1211,2040,1,"stream processing of xpath queries with predicates ashish kumar gupta , dan suciu 2003",,sigmod conference,,stream processing of xpath queries with predicates international conference on management of data,"ashish kumar gupta , dan suciu",,2003.0
Yes,1219,882,1,data mining in the bioinformatics domain vldb 2000,shalom tsur,,,data mining in the bioinformatics domain shalom tsur very large data bases 2000,,,
Yes,1221,1616,1,coss : the common object services specifications sigmod conference 1994,bruce e. martin,,,coss : the common object services specifications bruce e. martin international conference on management of data,,,1994.0
Yes,1227,1346,1,"developing an indexing scheme for xml document collection using the oracle8i extensibility framework ying hu , timothy chorma , nipun agarwal , seema sundara , jagannathan srinivasan vldb",,,2001.0,developing an indexing scheme for xml document collection using the oracle8i extensibility framework,"seema sundara , ying hu , timothy chorma , nipun agarwal , jagannathan srinivasan",very large data bases,2001.0
Yes,1234,1641,1,xsb as an efficient deductive database engine 1994,"david scott warren , konstantinos f. sagonas , terrance swift",sigmod conference,,xsb as an efficient deductive database engine,"konstantinos sagonas , terrance swift , david s. warren",international conference on management of data,1994.0
Yes,1235,126,1,agent-based semantic interoperability in infosleuth,"bruce bargmeyer , brad perry , jerry fowler , marian h. nodine",sigmod record,1999.0,"agent-based semantic interoperability in infosleuth jerry fowler , brad perry , marian nodine , bruce bargmeyer 1999",,acm sigmod record,
Yes,1248,211,1,update propagation protocols for replicated databases 1999,"raghavan komondoor , abraham silberschatz , yuri breitbart , s. seshadri , rajeev rastogi",sigmod conference,,"update propagation protocols for replicated databates yuri breitbart , raghavan komondoor , rajeev rastogi , s. seshadri , avi silberschatz international conference on management of data 1999",,,
Yes,1249,538,1,cost models for overlapping and multiversion structures acm trans . database syst .,"yufei tao , jun zhang , dimitris papadias",,2002.0,"cost models for overlapping and multiversion structures yufei tao , dimitris papadias , jun zhang 2002",,acm transactions on database systems ( tods ),
Yes,1253,696,1,"proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation suresha , kaushik dutta , krithi ramamritham , anindya datta , helen m. thomas , debra e. vandermeer",,sigmod conference,2002.0,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation international conference on management of data 2002,"anindya datta , kaushik dutta , helen thomas , debra vandermeer , suresha , krithi ramamritham",,
Yes,1263,1112,1,efficient search of multi-dimensional b-trees vldb,"dave birdsall , hedieh yaghmai , harry leslie , rohit jain",,1995.0,efficient search of multi-dimensional b-trees,"harry leslie , rohit jain , dave birdsall , hedieh yaghmai",very large data bases,1995.0
Yes,1264,1151,1,practical issues with commercial use of federated databases jim kleewein 1996,,vldb,,practical issues with commercial use of federated databases jim kleewein very large data bases,,,1996.0
Yes,1267,454,1,"cache invalidation scheme for mobile computing systems with real-time data hei-wing leung , joe chun-hung yuen , edward chan , kam-yiu lam sigmod record 2000",,,,"cache invalidation scheme for mobile computing systems with real-time data joe chun-hung yuen , edward chan , kam-yiu lam , h. w. leung 2000",,acm sigmod record,
Yes,1272,460,1,"a new approach to developing and implementing eager database replication protocols gustavo alonso , bettina kemme 2000",,acm trans . database syst .,,a new approach to developing and implementing eager database replication protocols 2000,"bettina kemme , gustavo alonso",acm transactions on database systems ( tods ),
Yes,1284,70,1,answering complex sql queries using automatic summary tables,"roberta cochrane , hamid pirahesh , monica urata , markos zaharioudakis , george lapis",sigmod conference,2000.0,answering complex sql queries using automatic summary tables international conference on management of data,"markos zaharioudakis , roberta cochrane , george lapis , hamid pirahesh , monica urata",,2000.0
Yes,1360,1053,1,pesto : an integrated query/browser for object databases vldb 1996,"laura m. haas , michael j. carey , vivekananda maganty , john h. williams",,,pesto : an integrated query/browser for object databases very large data bases,"michael j. carey , laura m. haas , vivekananda maganty , john h. williams",,1996.0
Yes,1380,2202,1,book review column karl aberer,,sigmod record,2003.0,book review column,karl aberer,acm sigmod record,2003.0
Yes,1419,2173,1,preference formulas in relational queries jan chomicki,,acm trans . database syst .,2003.0,preference formulas in relational queries acm transactions on database systems ( tods ),jan chomicki,,2003.0
Yes,1423,2049,1,composing xsl transformations with xml publishing views 2003,"chengkai li , p. p. s. narayan , henry f. korth , philip bohannon",sigmod conference,,composing xsl transformations with xml publishing views international conference on management of data 2003,"chengkai li , philip bohannon , p. p. s. narayan",,
Yes,1472,1136,1,the query optimizer in tandem 's new serverware sql product pedro celis vldb,,,1996.0,the query optimizer in tandem 's new serverware sql product very large data bases 1996,pedro celis,,
Yes,1485,737,1,"a brief survey of web data extraction tools berthier a. ribeiro-neto , alberto h. f. laender , altigran soares da silva , juliana s. teixeira sigmod record 2002",,,,"a brief survey of web data extraction tools alberto h. f. laender , berthier a. ribeiro-neto , altigran s. da silva , juliana s. teixeira acm sigmod record",,,2002.0
Yes,1498,1203,1,mariposa : a wide-area distributed database system,"carl staelin , paul m. aoki , witold litwin , michael stonebraker , adam sah , jeff sidell , andrew yu , avi pfeffer",vldb j.,1996.0,mariposa : a wide-area distributed database system,"michael stonebraker , paul m. aoki , witold litwin , avi pfeffer , adam sah , jeff sidell , carl staelin , andrew yu",the vldb journal -- the international journal on very large data bases,1996.0
Yes,1505,2198,1,distributed deviation detection in sensor networks sigmod record 2003,"dimitrios gunopulos , themistoklis palpanas , dimitris papadopoulos , vana kalogeraki",,,"distributed deviation detection in sensor networks themistoklis palpanas , dimitris papadopoulos , vana kalogeraki , dimitrios gunopulos acm sigmod record",,,2003.0
Yes,1514,1837,1,the sr-tree : an index structure for high-dimensional nearest neighbor queries,"norio katayama , shin ` ichi satoh",sigmod conference,1997.0,"the sr-tree : an index structure for high-dimensional nearest neighbor queries norio katayama , shin ` ichi satoh international conference on management of data",,,1997.0
Yes,1520,1530,1,"qbi : query by icons antonio massari , panos k. chrysanthis , lorenzo saladini , stefano pavani 1995",,sigmod conference,,qbi : query by icons,"antonio massari , stefano pavani , lorenzo saladini , panos k. chrysanthis",international conference on management of data,1995.0
Yes,1523,1263,1,a graph-theoretic model for optimizing queries involving methods,"yaw-huei chen , chi-sheng shih , chiang lee",vldb j.,2001.0,"a graph-theoretic model for optimizing queries involving methods chiang lee , chi-sheng shih , yaw-huei chen the vldb journal -- the international journal on very large data bases 2001",,,
Yes,1536,874,1,"toto , we 're not in kansas anymore : on transitioning from research to the real ( invited industrial talk ) 2000",michael j. carey,vldb,,"toto , we 're not in kansas anymore : on transitioning from research to the real ( invited industrial talk ) michael j. carey very large data bases",,,2000.0
Yes,1538,873,1,"automated selection of materialized views and indexes in sql databases surajit chaudhuri , sanjay agrawal , vivek r. narasayya vldb 2000",,,,"automated selection of materialized views and indexes in sql databases sanjay agrawal , surajit chaudhuri , vivek r. narasayya 2000",,very large data bases,
